,Date,Close
956,2023-10-19,21.4
957,2023-10-20,21.71
958,2023-10-23,20.37
959,2023-10-24,18.97
960,2023-10-25,20.19
961,2023-10-26,20.68
962,2023-10-27,21.27
963,2023-10-30,19.75
964,2023-10-31,18.14
965,2023-11-01,16.87
966,2023-11-02,15.66
967,2023-11-03,14.91
968,2023-11-06,14.89
969,2023-11-07,14.81
970,2023-11-08,14.45
971,2023-11-09,15.29
972,2023-11-10,14.17
973,2023-11-13,14.76
974,2023-11-14,14.16
975,2023-11-15,14.18
976,2023-11-16,14.32
977,2023-11-17,13.8
978,2023-11-20,13.41
979,2023-11-21,13.35
980,2023-11-22,12.85
981,2023-11-24,12.46
982,2023-11-27,12.69
983,2023-11-28,12.69
984,2023-11-29,12.98
985,2023-11-30,12.92
986,2023-12-01,12.63
987,2023-12-04,13.08
988,2023-12-05,12.85
989,2023-12-06,12.97
990,2023-12-07,13.06
991,2023-12-08,12.35
992,2023-12-11,12.63
993,2023-12-12,12.07
994,2023-12-13,12.19
995,2023-12-14,12.48
996,2023-12-15,12.28
997,2023-12-18,12.56
998,2023-12-19,12.53
999,2023-12-20,13.67
1000,2023-12-21,13.65
1001,2023-12-22,13.03
1002,2023-12-26,12.99
1003,2023-12-27,12.43
1004,2023-12-28,12.47
1005,2023-12-29,12.45
1006,2024-01-02,13.2
1007,2024-01-03,14.04
1008,2024-01-04,14.13
1009,2024-01-05,13.35
1010,2024-01-08,13.08
1011,2024-01-09,12.76
1012,2024-01-10,12.69
1013,2024-01-11,12.44
1014,2024-01-12,12.7
1015,2024-01-16,13.84
1016,2024-01-17,14.79
1017,2024-01-18,14.13
1018,2024-01-19,13.3
1019,2024-01-22,13.19
1020,2024-01-23,12.55
1021,2024-01-24,13.14
1022,2024-01-25,13.45
1023,2024-01-26,13.26
1024,2024-01-29,13.6
1025,2024-01-30,13.31
1026,2024-01-31,14.35
1027,2024-02-01,13.88
1028,2024-02-02,13.85
1029,2024-02-05,13.67
1030,2024-02-06,13.06
1031,2024-02-07,12.83
1032,2024-02-08,12.79
1033,2024-02-09,12.93
1034,2024-02-12,13.93
1035,2024-02-13,15.85
1036,2024-02-14,14.38
1037,2024-02-15,14.01
1038,2024-02-16,14.24
1039,2024-02-20,15.42
1040,2024-02-21,15.34
1041,2024-02-22,14.54
1042,2024-02-23,13.75
1043,2024-02-26,13.74
1044,2024-02-27,13.43
1045,2024-02-28,13.84
1046,2024-02-29,13.4
1047,2024-03-01,13.11
1048,2024-03-04,13.49
1049,2024-03-05,14.46
1050,2024-03-06,14.5
1051,2024-03-07,14.44
1052,2024-03-08,14.74
1053,2024-03-11,15.22
1054,2024-03-12,13.84
1055,2024-03-13,13.75
1056,2024-03-14,14.4
1057,2024-03-15,14.41
1058,2024-03-18,14.33
1059,2024-03-19,13.82
1060,2024-03-20,13.04
1061,2024-03-21,12.92
